标题,价格,户型,面积,朝向,楼层,装修,种类,位置,标签,设施,概况,链接
后瑞地铁站黄田小学特价单房龥龥龤！真实有效，拎包入住,990元/月,1室0厅1卫,25平方米,朝南,共5层,精装修,公寓,后瑞村 (宝安后瑞),整租朝南1号线,驋.独立厨卫，高楼层高采光,"冰箱,洗衣机,热水器,宽带,沙发,油烟机,燃气灶,可做饭,电视,空调,衣柜,床,卫生间,智能门锁,阳台,",https://sz.zu.anjuke.com/fangyuan/1696497578419200?isauction=6&shangquan_id=36175&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaY3m103nyNvmBd-ujcYsHwBnAEVmWbzPidbPhnQuWuWPAFbuhcKnWTknW9zrj0OTEDQPWbvPjbLPH03PjDOnWTkTHTKnHTkTHD_nHTKPTDQPWT1PjnvPHE1rjEkTHc1TXy8BXyQ6Xy8C8Xqo8h6VBdEESXMMSpcfSXVhShTBXyc-SB6Jrh6VEDQTHnYTEDVnEDKnHnQrHEvrHc1PHnkPWNkrjc3rEDvTyGGmNI-rWKxnWNknTDQTymdmH7WPHn3sH6bmhmVPjmLnaY3myDzsHTQm1ndn193ujN3rTDQn1DOPjmOnWndPHEOP101rjcYTHD1nHbYPWbzn1NYrHNzPj03P1cKTEDKTEDVTEDKpZwY0Znlszq1XBOlIiO6UhGdpvN8mvqVsvu6UhIOIy78sLT1Pat4uMFfURqk0h-WuHYkFMwfgLKzpyP-5HcdnjTKTHDYsWDQra3QPjT8nHmOTHTKnTDKnikQnE7exEDQnjTdPTDQnjTzn1c1THK-PWnkn1whsH6BuADVPAELuBdBuW6bsHP-mWNQn1Nkmyw6rTDKPTDKTHnKPakQrjDzsjnvnH0dTHDKUMR_UT7WuW0LnvNdPWbYnhEOPjbv&lego_tid=0e63034f-8bda-4d7f-bf8d-3eb51350ada8
整租干净整洁，拎包入住，周边配套完善，交通方便，急急急,2300元/月,2室1厅1卫,53平方米,朝南,低层(共33层),精装修,普通住宅,振业峦山谷 (龙岗横岗),整租朝南,閏室麣厅龒卫，卧室大飘窗，南看马峦山，采光视野好，安静舒适,"冰箱,洗衣机,热水器,宽带,沙发,油烟机,燃气灶,可做饭,电视,空调,衣柜,床,卫生间,智能门锁,阳台,暖气,",https://sz.zu.anjuke.com/fangyuan/1700646903143436?isauction=6&shangquan_id=1856&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaY3m103nyNvmBd-ujcYsHwBnAEVmWbzPidbPhnQuWuWPAFbuhcKnHm1PjEdPTDKnH0knjmYPWbkn1DYn1E1P9DkTHDknTDQsjDkTHEKnHmkn1E1PWNYn19YnTDzPTZ-oCM-_mg-oJsMfpeGCUmVND5MGO4hBs4MoufG9cM-BFxCCpWGCUNKnED1PTDKsHDKTHD1nH9YP19vP1EOnjm3PjbzrjTKP97Jpy7ZuHCkg1cdnjTKnEDkPhwbuWD3niYdPHD1sHEOmWcVryP6mzYOuWELrHNLnjn3nWbKnHnQrjELrjmLPjbdP1D3PHTzPTDQn1D3Pj03PW0Yrjb3PjmYP10kTEDKTEDKsEDKTy6YIZK1rBtf0LC8XMN8myOJIyV-shPfUiqhmyOMXgR6UBqkn1Ef5vuzUvdx0ZFGmvNqnauYUdqk0h-WuHYzPHTkTEDQPa3QnH98nHEksWDvrEDkTHTKTHD_nHDKXLYKnHTkPHEKnHTknWnznkDduWwWP1cvPadBuH91sHEzrjNVmHNQuBdhnhuWn19QnHw-mvmKTHEKTED1THE_nH9QnzkQrjNvTHDKUMR_UT7WmH7-rjFhnWDkmy7bPAPW&lego_tid=5f4c7264-be83-4285-a51f-f2fc38114ecf
上李朗小区房，白领人才的福音 龒驋号线地铁口 随时可看房,1800元/月,1室0厅1卫,40平方米,东南,中层(共18层),精装修,公寓,上李朗统建楼小区 (布吉上水径),整租东南10号线,全新时尚装修公寓，白墙靓丽，干净米白家私搭配，白瓷砖花瓷砖搭配，给你一个温馨时尚的港湾。每一间房子都是光线超好通风，室内配置：空调，热水器，洗衣机，床，衣柜，冰箱，电脑桌，沙发，茶几，宽带，独立厨房卫生间，独立水电表。,"冰箱,洗衣机,热水器,宽带,沙发,油烟机,可做饭,电视,空调,衣柜,床,卫生间,智能门锁,阳台,",https://sz.zu.anjuke.com/fangyuan/1692152672001028?isauction=6&shangquan_id=15579&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaY3m103nyNvmBd-ujcYsHwBnAEVmWbzPidbPhnQuWuWPAFbuhcKP1EYPH91rEDKnHmOnWDdnWmLnWTknHTzrTDkTHDknTDQsjDkTHEKnHmkn1E1PWNYn19YnTDzP9Z-oCM-_mg-oJsMfpeGCUmVND5MGO4hBs4MoufG9cM-BFxCCpWGCUNKnED1PTDKsHDKTHD1nHbkP1E1n1cdnjTkPjDLnW9KP97Jpy7ZuHCkg1cdnjTKnEDzPH7-nW0YPaYdnHFbsHEYnvEVrHcQPaYknhEYm1bLn1nLrHNKnHnQrHTLPjn1nWm3rj03PHEkrTDQn1DOnj0Yn1nzPWnknjmdnHNzTEDKTEDKsEDKTy6YIZK1rBtf0LC8XMN8myOJIyV-shPfUiqhmyOMXgR6UBqkn1Ef5vuzUvdx0ZFGmvNqnauYUdqk0h-WuHYzPHTkTEDQPa3QnH98nHEksWDvrEDkTHTKTHD_nHDKXLYKnHTkPHEKnHTknWnznk7hmyu6rHRWmiYYnHPWsHEYmHbVmWmOPBYLnyDkuhR6rjcQPWDKTHEKTED1THE_nH9dPikQPHNLrEDQTyOdUAkKPHTzmHNkrj6-nymQPjRWu9&lego_tid=fafa95ca-413c-44a9-b696-71a0fea82161
首月免租，清湖地铁站，高坳，玉翠，家电齐全，拎包入住，采光好,1200元/月,1室0厅1卫,25平方米,南北,低层(共14层),精装修,公寓,保利悦都 (龙华清湖),整租南北4号线,房屋亮点： ,"冰箱,洗衣机,热水器,宽带,沙发,油烟机,可做饭,电视,空调,衣柜,床,卫生间,智能门锁,阳台,",https://sz.zu.anjuke.com/fangyuan/1528364809003015?isauction=6&shangquan_id=32362&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaY3m103nyNvmBd-ujcYsHwBnAEVmWbzPidbPhnQuWuWPAFbuhcKPjEdrHmzPTDKnHNzrjnvPj9krHTkn1TQPEDkTHDknTDQsjDkTHEKnHmkn1E1PWNYn19YnTDzrTZ-oCM-_mg-oJsMfpeGCUmVND5MGO4hBs4MoufG9cM-BFxCCpWGCUNKnED1PTDKsHDKTHD1nHbdnHc1nHE3n1b1nHEYn1cKP97Jpy7ZuHCkg1cdnjTKnEDOn1DzrAFhPzYvn1cLsHELmW0VrAnYPBYkPjc3P19zmWcQmyDKnHnQrHNQnWnQPjb1rHbLn1m1nkDQn1DOPHDzn1DYrj9QnWNLPj0zTEDKTEDKsEDKTy6YIZK1rBtf0LC8XMN8myOJIyV-shPfUiqhmyOMXgR6UBqkn1Ef5vuzUvdx0ZFGmvNqnauYUdqk0h-WuHYzPHTkTEDQPa3QnH98nHEksWDvrEDkTHTKTHD_nHDKXLYKnHTkPHEKnHTknWnznkDOrAR-mW9vPzdBmvcksHwBuAEVrj9dPzYOrHndmWbkPvDLPymKTHEKTED1THE_nHmknjb_n1c1PWcKnE78IyQ_THnOuyn3nhc3nj9zmW93myc&lego_tid=98eeb867-bcb0-4bdd-8857-9935b907a75f
汇海广场 锦绣新村 弓村精装单间一房一厅私家电齐全 拎包入住,1199元/月,1室0厅1卫,19平方米,南北,中层(共9层),精装修,公寓,锦绣新村 (龙华龙华),整租南北,看好可直接拎包入住,"冰箱,洗衣机,热水器,宽带,沙发,油烟机,燃气灶,可做饭,电视,空调,衣柜,床,卫生间,智能门锁,阳台,暖气,",https://sz.zu.anjuke.com/fangyuan/1631450206462977?isauction=6&shangquan_id=1850&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaY3m103nyNvmBd-ujcYsHwBnAEVmWbzPidbPhnQuWuWPAFbuhcKnHTQnW91nHDOTEDQPWnQPjNknWTvPjmzrH0LTHTKnHTkTHD_nHTKPTDQPWT1PjnvPHE1rjEQTHnkTXy8BXyQ6Xy8C8Xqo8h6VBdEESXMMSpcfSXVhShTBXyc-SB6Jrh6VEDQTHnYTEDVnEDKnHnQrHNkrjTkrH0znH0OrjmdP9DvTyGGmNI-rWKxnWNknTDQTHR-njKbuj0OsHKhPvNVPjN3uBYOrHuhsHb1P1w-m1Dvrj7Bm9DQn1DOPHT3njTOrHD3rHndnjEkTHD1nHbdnj9knjb3PWTznHELrjEKTEDKTEDVTEDKpZwY0Znlszq1XBOlIiO6UhGdpvN8mvqVsvu6UhIOIy78sLT1Pat4uMFfURqk0h-WuHYkFMwfgLKzpyP-5HcdnjTKTHDYsWDQra3QPjT8nHmOTHTKnTDKnikQnE7exEDQnjTdPTDQnjTzn1c1THcLm1c1mvczsymvuHnVPjFbnidBn1RbsHK6uhnzuANYnWcYrTDKPTDKTHnKPakQPWTkrikQrjNkTHDKUMR_UTDLmWEvrHNYmvRWPvnOmhN3&lego_tid=27c23cb2-f6e3-42d1-b35d-0afc2de42248
丹竹头地铁站 A出口龒龤龤米 全新公寓家私家电齐全 拎包入住,900元/月,1室0厅1卫,18平方米,南北,中层(共8层),精装修,公寓,东部英郡假日广场 (布吉丹竹头),整租南北3号线,房子离地铁近，交通便利，楼下是大型超市，生活购物方便。,"冰箱,洗衣机,热水器,宽带,沙发,油烟机,可做饭,空调,衣柜,床,卫生间,智能门锁,阳台,暖气,",https://sz.zu.anjuke.com/fangyuan/1639476576150531?isauction=6&shangquan_id=12891&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaY3m103nyNvmBd-ujcYsHwBnAEVmWbzPidbPhnQuWuWPAFbuhcKnHTkPHD1n1cLTEDQPWnOPj0vPH0vnHNkPHnQTHTKnHTkTHD_nHTKPTDQPWT1PjnvPHE1rjEQTHnQTXy8BXyQ6Xy8C8Xqo8h6VBdEESXMMSpcfSXVhShTBXyc-SB6Jrh6VEDQTHnYTEDVnEDKnHnQrHDOnj0YPjNkrHb3njmLnkDvTyGGmNI-rWKxnWNknTDQTHT1uWN1nW0OsHKBujEVPAwWuBd6P17-sH0drycvmWI-nWn1mkDQn1DOnHbkP1EYP1nznW03P19YTHD1nHbQrHTLPjEvP10LPHc3n1cKTEDKTEDVTEDKpZwY0Znlszq1XBOlIiO6UhGdpvN8mvqVsvu6UhIOIy78sLT1Pat4uMFfURqk0h-WuHYkFMwfgLKzpyP-5HcdnjTKTHDYsWDQra3QPjT8nHmOTHTKnTDKnikQnE7exEDQnjTdPTDQnjTzn1c1TyR6uWmLP101sHcvPAEVPjcQuBdBnWTLsHT3njNkmHNvnj0YmEDKPTDKTHnKPakQrjNdsjDzrjbQTHDKUMR_UT7-uANOuW66nA7WPH93PHmd&lego_tid=eaf67773-264d-421f-b207-08050a56074a
豪横招租!近餼号线清湖地铁站大仟里购物中心家私齐全,1500元/月,1室0厅1卫,40平方米,朝南,高层(共19层),精装修,普通住宅,富茂新村 (龙华龙华),整租朝南4号线,"龒、本公寓房间宽敞，晾衣服方便。阳光和通风都相当的好！麣，周边环境安全,上下班出行方便,每层各个方位都有监.控，保证安全！閏，从不接住闲杂人等,租得放心住得舒心！餼，本公寓楼每一间都是豪华装修，室内配置如下：空调，热水器，床，衣柜，电脑桌，梳妆台，宽带，独立厨房、独立卫生间，独立水电表！驋，家里安全，楼下有大铁门门禁，楼口还有一个门禁，双重保障，安全！鑶，没有做不到,只有想不到,倾情的，让你比家更亲近！温馨提示，选择我们您就对了,不会让您烦恼,开心生活每,欢迎您的到来!","冰箱,洗衣机,热水器,沙发,燃气灶,空调,衣柜,床,智能门锁,暖气,",https://sz.zu.anjuke.com/fangyuan/1703186636103695?isauction=6&shangquan_id=1850&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaY3m103nyNvmBd-ujcYsHwBnAEVmWbzPidbPhnQuWuWPAFbuhcKnHTQn1bkrH9kTEDQP1T1nH9vPWnvnHT1PWbdTHTKnHTkTHD_nHTKPTDQPWT1PjnvPHE1rjEQTHnzTXy8BXyQ6Xy8C8Xqo8h6VBdEESXMMSpcfSXVhShTBXyc-SB6Jrh6VEDQTHnYTEDVnEDKnHnQrHDQPHbdPWbQnHnYrH0vnTDvTyGGmNI-rWKxnWNknTDQTH9Luh76mhuBsH91rANVPjcOmBYOujcLsym1nHIhmW6BPHcvP9DQn1DOnHDdrHNLnjTLrjD3P1NdTHD1nHbQnHNOPHmOrHDkPjNvn1cKTEDKTEDVTEDKpZwY0Znlszq1XBOlIiO6UhGdpvN8mvqVsvu6UhIOIy78sLT1Pat4uMFfURqk0h-WuHYkFMwfgLKzpyP-5HcdnjTKTHDYsWDQra3QPjT8nHmOTHTKnTDKnikQnE7exEDQnjTdPTDQnjTzn1c1THDYuAcLPj9dsH-6nvmVPjEQrid6PyRWsHKhnjRhPyPWm1PWP9DKPTDKTHnKPakQPWTkrikQrjNkTHDKUMR_UT7BPHRWnj0vrjIhnHDQuHck&lego_tid=14db7485-9a3f-4419-a5ec-0f05f5ccc3c6
福田上班族地铁口 高性价比大单间  家电齐全拎包入住,1280元/月,1室0厅1卫,14平方米,南北,中层(共18层),精装修,公寓,富通天骏 (龙华龙华),整租南北4号线,麣、附近地铁：龒号线龙华:麣龤驋m,"冰箱,洗衣机,热水器,宽带,沙发,油烟机,燃气灶,可做饭,电视,空调,衣柜,床,卫生间,智能门锁,阳台,暖气,",https://sz.zu.anjuke.com/fangyuan/1665394228257804?isauction=6&shangquan_id=1850&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaY3m103nyNvmBd-ujcYsHwBnAEVmWbzPidbPhnQuWuWPAFbuhcKnWTknHbQrjTOTEDQPWmdn1bYnWc3nWNLrjTYTHTKnHTkTHD_nHTKPTDQPWT1PjnvPHE1rjEQTHn1TXy8BXyQ6Xy8C8Xqo8h6VBdEESXMMSpcfSXVhShTBXyc-SB6Jrh6VEDQTHnYTEDVnEDKnHnQrHc1rjcdnHmdPjbdnjbQnkDvTyGGmNI-rWKxnWNknTDQTHTdnHEOuhDOsHF-nyDVPAE1mzYOPHEzsyFbujFbnjN1uHc1mkDQn1DOnWn3nWNQP19YrH0knWEkTHD1nHbzn19zPHDLn1TYPjEzrj9KTEDKTEDVTEDKpZwY0Znlszq1XBOlIiO6UhGdpvN8mvqVsvu6UhIOIy78sLT1Pat4uMFfURqk0h-WuHYkFMwfgLKzpyP-5HcdnjTKTHDYsWDQra3QPjT8nHmOTHTKnTDKnikQnE7exEDQnjTdPTDQnjTzn1c1TH7BuAnvmvD1sym3rHnVPjw6nzdBuWFBsHIWPH7-m176PyNkmEDKPTDKTHnKPakQPWTkrikQrjNkTHDKUMR_UT7bmH6-m1cvmhmOPhNLuyNQ&lego_tid=1bdc6ca3-f893-44a3-bf2b-7c51ec1a5e0a
嘉龙山庄万众城展韬大厦牛栏前精装修别墅一房一厅有停车位,2380元/月,1室0厅1卫,40平方米,朝南,共3层,精装修,别墅,碧水龙庭(一二期) (龙华民治),整租朝南5号线,房屋配置】家私 沙发 床 衣柜 桌椅 家电 空调 冰箱 洗衣机 油烟机 热水器全新家私家电配置齐全 拎包入住【房间特点】龒、高层无遮挡 采光通风良好 空间感充足 舒适麣、可做饭 带室内花园 晾晒方便龤、别墅区  专人看管 安全可靠【周边配置】公交站 公园 菜市场 便利店 饭店 步行街 桌球室 健身房 银行 医院 药店等等周边配置成熟 优享假日时光,"冰箱,洗衣机,热水器,宽带,沙发,油烟机,可做饭,空调,衣柜,床,卫生间,智能门锁,阳台,",https://sz.zu.anjuke.com/fangyuan/1689453687036942?isauction=6&shangquan_id=6145&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaY3m103nyNvmBd-ujcYsHwBnAEVmWbzPidbPhnQuWuWPAFbuhcKnWTknHnzPW9dTEDQPW9OPjN1PW9LnjnvrHEzTHTKnHTkTHD_nHTKPTDQPWT1PjnvPHE1rjEQTHnYTXy8BXyQ6Xy8C8Xqo8h6VBdEESXMMSpcfSXVhShTBXyc-SB6Jrh6VEDQTHnYTEDVnEDKnHnQrHTOPj9Qn19zn1nYrj01PkDvTyGGmNI-rWKxnWNknTDQTycdmHmLnvn1syE1P1TVPjn3uBdBmhFbsH9dn1EQPhczmymzm9DQn1DOnjbYrjD1rHDdPWc1PjcYTHD1nHbkrHE3nHn3PHm3rHbkP1cKTEDKTEDVTEDKpZwY0Znlszq1XBOlIiO6UhGdpvN8mvqVsvu6UhIOIy78sLT1Pat4uMFfURqk0h-WuHYkFMwfgLKzpyP-5HcdnjTKTHDYsWDQra3QPjT8nHmOTHTKnTDKnikQnE7exEDQnjTdPTDQnjTzn1c1THu-uHD1PH0ksH0knWEVPj6hPBY3uWn3sHIbPWPhuANznWF6mEDKPTDKTHnKPakQPWTkrikvnHEdTHDKUMR_UTDLnvN1nj0YnvF-n1Khm1Nv&lego_tid=6ee13570-7024-48f6-8f38-7d63fde222aa
沙尾地铁站 附近靠近车公庙精装公寓大单间 家私齐全,1800元/月,1室0厅1卫,30平方米,朝南,中层(共12层),精装修,公寓,沙尾西村 (福田沙尾),整租朝南3/7号线,邻地铁配套齐全,"冰箱,洗衣机,热水器,宽带,沙发,油烟机,燃气灶,可做饭,电视,空调,衣柜,床,卫生间,智能门锁,阳台,暖气,",https://sz.zu.anjuke.com/fangyuan/1699521943430150?isauction=6&shangquan_id=6092&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaY3m103nyNvmBd-ujcYsHwBnAEVmWbzPidbPhnQuWuWPAFbuhcKnHTQPjbvnWcdTEDQPWbOPHcQrHE1PjnknHNkTHTKnHTkTHD_nHTKPTDQPWT1PjnvPHE1rjEQTHndTXy8BXyQ6Xy8C8Xqo8h6VBdEESXMMSpcfSXVhShTBXyc-SB6Jrh6VEDQTHnYTEDVnEDKnHnQrHTOPWnQPjNdn10krjNYPTDvTyGGmNI-rWKxnWNknTDQTHDvuWnQm1cQsHwhPHcVPj03nzdBnhcQsHb1uywbPvPhm1DOPTDQn1DOnjbvn1DYPWN3PHmznjE3THD1nHbkrHm1nHEvnjEkn1mkrHmKTEDKTEDVTEDKpZwY0Znlszq1XBOlIiO6UhGdpvN8mvqVsvu6UhIOIy78sLT1Pat4uMFfURqk0h-WuHYkFMwfgLKzpyP-5HcdnjTKTHDYsWDQra3QPjT8nHmOTHTKnTDKnikQnE7exEDQnjTdPTDQnjTzn1c1THnLmycvPymvsycvujTVPjF-rad6P1E1sHu6uHDQmHR6mHbvrEDKPTDKTHnKPakQrjTOsjmkrHcKnE78IyQ_TH03Pjmvmhw6nj7BuyDdn1m&lego_tid=37ab65f6-b6d0-42e8-a743-6ae11a5aa969
实图实价 民治地铁站閏驋驋米 塘水围三区 全新公寓 拎包入住,1180元/月,1室0厅1卫,22平方米,南北,中层(共8层),精装修,公寓,塘水围三区 (龙华深圳北站),整租南北5号线,麣、户型：宽餼米长龥米，隔断式卫生间，隔断式厨房。,"冰箱,洗衣机,热水器,宽带,沙发,油烟机,燃气灶,可做饭,电视,空调,衣柜,床,卫生间,智能门锁,阳台,暖气,",https://sz.zu.anjuke.com/fangyuan/1698871721075719?isauction=6&shangquan_id=18268&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaY3m103nyNvmBd-ujcYsHwBnAEVmWbzPidbPhnQuWuWPAFbuhcKnWTknWDvrH0LTEDQPWb3rj0QP1cQnj0dP1DOTHTKnHTkTHD_nHTKPTDQPWT1PjnvPHE1rjEQTHnvTXy8BXyQ6Xy8C8Xqo8h6VBdEESXMMSpcfSXVhShTBXyc-SB6Jrh6VEDQTHnYTEDVnEDKnHnQrHTOrHTOrH9QPj91PjDLP9DvTyGGmNI-rWKxnWNknTDQTHnLPvF6uAELsycOrH0VPAn3nadBrHKbsH9YmyD1n1uBnvuBrEDQn1DOnjbOnjbOrjb3P1DvnHmQTHD1nHbkrHbkrHb3PHcdrjcOnHcKTEDKTEDVTEDKpZwY0Znlszq1XBOlIiO6UhGdpvN8mvqVsvu6UhIOIy78sLT1Pat4uMFfURqk0h-WuHYkFMwfgLKzpyP-5HcdnjTKTHDYsWDQra3QPjT8nHmOTHTKnTDKnikQnE7exEDQnjTdPTDQnjTzn1c1Tyu-mHE3mWuBsH76Pj0VPjELniY3PWu-sHNkPvNOmyD1ryNLuEDKPTDKTHnKPakQPWTkrikQrjcvrTDQTyOdUAkKuW01nvubPWT3uWE1rywbnT&lego_tid=fea48b6b-1a47-4471-866e-507e9aa39e7e
龒龒号地铁，马安山地铁口，春和雅苑，靓房出租,1800元/月,1室1厅1卫,45平方米,朝北,低层(共15层),精装修,普通住宅,春和雅苑 (宝安马安山),整租朝北11号线,零距离，马安山地铁口，房子出租！閏鑶小时物业管理！上下班的优先选择点！家私家电全齐，拧包入住！,"冰箱,洗衣机,热水器,宽带,沙发,油烟机,燃气灶,可做饭,电视,空调,衣柜,床,卫生间,阳台,",https://sz.zu.anjuke.com/fangyuan/1690769524825093?isauction=6&shangquan_id=34420&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaY3m103nyNvmBd-ujcYsHwBnAEVmWbzPidbPhnQuWuWPAFbuhcKnHTkPjndnWEkTEDQPWbkP1mOPHcYrjcdnjb1THTKnHTkTHD_nHTKPTDQPWT1PjnvPHE1rjEQTHnLTXy8BXyQ6Xy8C8Xqo8h6VBdEESXMMSpcfSXVhShTBXyc-SB6Jrh6VEDQTHnYTEDVnEDKnHnQrHNQrHcOnjN1n1TOP1ELn9DvTyGGmNI-rWKxnWNknTDQTymYP1PWmhEdsyn3PAcVPjTOniY3uAD1sHRWPW-bmW7BnHmOn9DQn1DOPHDOnWbkPWcOPHmvPjmYTHD1nHbdnHbzrHTdP1bzn1E3nHmKTEDKTEDVTEDKpZwY0Znlszq1XBOlIiO6UhGdpvN8mvqVsvu6UhIOIy78sLT1Pat4uMFfURqk0h-WuHYkFMwfgLKzpyP-5HcdnjTKTHDYsWDQra3QPjT8nHmOTHTKnTDKnikQnE7exEDQnjTdPTDQnjTzn1c1TywhrjKWuHw6syNOP1NVPAnLmzYOuHwWsHTdm10YnjbLmyckP9DKPTDKTHnKPakQrjDzsjnYPjckTHDKUMR_UTDznH0dnWKbn1N1PjwWmynz&lego_tid=df80ce4a-e975-4c7c-9e4c-05c74097ab06
翻身地铁 宝安交通运输局公交 豪华超大单间 拎包入住装修时尚,1800元/月,1室0厅1卫,30平方米,东南,中层(共9层),豪华装修,公寓,宝安41区 (宝安宝安中心区),整租东南5号线,房源简介：【房东直租，无任何其他费用】,"冰箱,洗衣机,热水器,宽带,沙发,可做饭,空调,衣柜,卫生间,暖气,",https://sz.zu.anjuke.com/fangyuan/1702432082093061?isauction=6&shangquan_id=6150&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaY3m103nyNvmBd-ujcYsHwBnAEVmWbzPidbPhnQuWuWPAFbuhcKnHTQnWTQP1mLTEDQP1TzPjnznj9znjb1njmQTHTKnHTkTHD_nHTKPTDQPWT1PjnvPHE1rjEQTHn3TXy8BXyQ6Xy8C8Xqo8h6VBdEESXMMSpcfSXVhShTBXyc-SB6Jrh6VEDQTHnYTEDVnEDKnHnQrHcknjcQPWbznHb1rHbvrTDvTyGGmNI-rWKxnWNknTDQTH0YPhw6njTzsHn1rANVPAcQnidBm1E1sHFBryE3nHRhnHFBnEDQn1DOnWTknWDLnHndrjEOPj0zTHD1nHbznjTznH0krHnOnHTdnW9KTEDKTEDVTEDKpZwY0Znlszq1XBOlIiO6UhGdpvN8mvqVsvu6UhIOIy78sLT1Pat4uMFfURqk0h-WuHYkFMwfgLKzpyP-5HcdnjTKTHDYsWDQra3QPjT8nHmOTHTKnTDKnikQnE7exEDQnjTdPTDQnjTzn1c1THu-nWnYnymdsH0krHDVPADOnzYOuHcdsHNLmH-6PHczrHF6nTDKPTDKTHnKPakQrjDzsjmQPHTKnE78IyQ_TyDdnAmdujTdmvc3n1-WPHT&lego_tid=6e2341f5-7091-4a93-9e25-57a9a52292a0
近清湖地铁 业主直租 精装修 来电即可 看房  无中介,1380元/月,1室0厅1卫,20平方米,朝南,高层(共9层),精装修,公寓,富泉新村 (龙华清湖),整租朝南4号线,龒，新出房源精装公寓，南北通透，空气流通，阳光充足。閏，全新家私家电，空调，冰箱，空气然热水，电信光纤，衣柜，洗衣机，席梦思大床，电脑桌，沙发，茶几，独立洗手间。拎包入住。龤，配有独立油烟机独立厨卫。可做饭，精装修，进出都需要刷电子门禁卡，每层都有监控，公共区域有专人打扫。鑶随时可看房，业主直租，有固定停车位，可办月卡。长租短租都可。,"冰箱,洗衣机,热水器,宽带,沙发,油烟机,可做饭,空调,衣柜,床,卫生间,智能门锁,阳台,",https://sz.zu.anjuke.com/fangyuan/1701755565236233?isauction=6&shangquan_id=32362&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaY3m103nyNvmBd-ujcYsHwBnAEVmWbzPidbPhnQuWuWPAFbuhcKnWTkn1nYPWbOTEDQP1TQP1NdPHmdnWnvnWn1THTKnHTkTHD_nHTKPTDQPWT1PjnvPHE1rjEQTHEkTXy8BXyQ6Xy8C8Xqo8h6VBdEESXMMSpcfSXVhShTBXyc-SB6Jrh6VEDQTHnYTEDVnEDKnHnQrHELPWDkPHTLP1n1rjDQn9DvTyGGmNI-rWKxnWNknTDQTHIbuWEznH91syDLP1TVPAnLPiY3rHKbsyELmHu-uynvPhmYn9DQn1DOPj0vnHTdnWbOPWnvnWcYTHD1nHbYP1mQnjNzPH0vrjbkrjbKTEDKTEDVTEDKpZwY0Znlszq1XBOlIiO6UhGdpvN8mvqVsvu6UhIOIy78sLT1Pat4uMFfURqk0h-WuHYkFMwfgLKzpyP-5HcdnjTKTHDYsWDQra3QPjT8nHmOTHTKnTDKnikQnE7exEDQnjTdPTDQnjTzn1c1THDYPHcdmvmksHn1PycVPANdmzYOuAEYsyRhnAuWmHb3ujwWnEDKPTDKTHnKPakQPWTkrik1nWnvn9DQTyOdUAkKuAD3P1KBP17BuW-BuAcOn9&lego_tid=14525cf0-335b-4e5c-9dd4-ef0fca98d4c1
